"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","successful.count","successful.length"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0004_0001.mp4","2.52224","Lethrinidae","Gymnocranius","sp1",1,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0004_0001.mp4","1.98838","Lethrinidae","Gymnocranius","spp",2,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0004_0001.mp4","2.52224","Lethrinidae","Lethrinus","rubrioperculatus",1,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0004_0001.mp4","1.98838","Lutjanidae","Aphareus","rutilans",1,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0004_0001.mp4","2.52224","Lutjanidae","Lutjanus","lemniscatus",1,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0003_0001.mp4","0.01696","Mullidae","Parupeneus","heptacanthus",20,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0004_0001.mp4","2.29869","Mullidae","Parupeneus","spilurus",4,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0004_0001.mp4","0.89311","SUS","SUS","SUS",20,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB3","20210826_BOTTOM_4_0004_0001.mp4","1.86742","Serranidae","Cephalopholis","sonnerati",1,"-22.7291","113.5491",NA,NA,"Pt Cloates",NA,NA,"81.9","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB30","20210826_BOTTOM_3_0002_0001.mp4","0.00000","Carangidae","Seriola","spp",1,"-22.7115","113.555",NA,NA,"Pt Cloates",NA,NA,"81.3","Yes","Yes"
"2021-08_PtCloates_BOSS","PCFB30","20210826_BOTTOM_3_0002_0001.mp4","2.34929","Carcharhinidae","Carcharhinus","albimarginatus",1,"-22.7115","113.555",NA,NA,"Pt Cloates",NA,NA,"81.3","Yes","Yes"
